record_id,bibkey,outcome,source,note
CAND-2111,CAND-2111,not-retrieved,,no OA source
CAND-2125,CAND-2125,not-retrieved,,no OA source
CAND-2132,CAND-2132,not-retrieved,,no OA source
CAND-2136,CAND-2136,fetched,oa_pdf_url,overlap=1.00
CAND-2137,CAND-2137,not-retrieved,,no OA source
CAND-2139,CAND-2139,not-retrieved,,no OA source
CAND-2172,CAND-2172,not-retrieved,,no OA source
CAND-2177,CAND-2177,not-retrieved,,no OA source
CAND-2194,CAND-2194,not-retrieved,,no OA source
CAND-2197,CAND-2197,not-retrieved,,no OA source
CAND-2215,CAND-2215,not-retrieved,,no OA source
CAND-2229,CAND-2229,not-retrieved,,no OA source
CAND-2245,CAND-2245,fetched,oa_pdf_url,overlap=1.00
CAND-2246,CAND-2246,not-retrieved,,no OA source
CAND-2272,CAND-2272,fetched,oa_pdf_url,overlap=1.00
CAND-2279,CAND-2279,not-retrieved,,no OA source
CAND-2290,CAND-2290,not-retrieved,,no OA source
CAND-2306,CAND-2306,not-retrieved,,no OA source
CAND-2339,CAND-2339,not-retrieved,,no OA source
CAND-2356,CAND-2356,not-retrieved,,no OA source
CAND-2378,CAND-2378,not-retrieved,,no OA source
CAND-2383,CAND-2383,fetched,oa_pdf_url,overlap=1.00
CAND-2384,CAND-2384,fetched,oa_pdf_url,overlap=1.00
CAND-2387,CAND-2387,not-retrieved,,no OA source
CAND-2396,CAND-2396,not-retrieved,,no OA source
CAND-2397,CAND-2397,not-retrieved,,no OA source
CAND-2400,CAND-2400,fetched,oa_pdf_url,overlap=1.00
CAND-2427,CAND-2427,fetched,oa_pdf_url,overlap=1.00
CAND-2433,CAND-2433,fetched,oa_pdf_url,overlap=1.00
CAND-2449,CAND-2449,not-retrieved,,no OA source
CAND-2461,CAND-2461,fetched,oa_pdf_url,overlap=1.00
CAND-2463,CAND-2463,not-retrieved,,no OA source
CAND-2465,CAND-2465,not-retrieved,,no OA source
CAND-2492,CAND-2492,fetched,oa_pdf_url,overlap=1.00
CAND-2506,CAND-2506,not-retrieved,,no OA source
CAND-2508,CAND-2508,not-retrieved,,no OA source
CAND-2516,CAND-2516,not-retrieved,,no OA source
CAND-2517,CAND-2517,not-retrieved,,no OA source
CAND-2555,CAND-2555,not-retrieved,,no OA source
CAND-2574,CAND-2574,fetched,s2,overlap=1.00
CAND-2576,CAND-2576,fetched,oa_pdf_url,overlap=1.00
CAND-2603,CAND-2603,not-retrieved,,no OA source
CAND-2604,CAND-2604,not-retrieved,,no OA source
CAND-2625,CAND-2625,not-retrieved,,no OA source
CAND-2631,CAND-2631,fetched,oa_pdf_url,overlap=1.00
CAND-2641,CAND-2641,not-retrieved,,no OA source
CAND-2656,CAND-2656,not-retrieved,,no OA source
CAND-2661,CAND-2661,not-retrieved,,no OA source
CAND-2713,CAND-2713,not-retrieved,,no OA source
CAND-2714,CAND-2714,not-retrieved,,no OA source
CAND-2721,CAND-2721,not-retrieved,,no OA source
CAND-2741,CAND-2741,fetched,oa_pdf_url,overlap=1.00
CAND-2747,CAND-2747,not-retrieved,,no OA source
CAND-2768,CAND-2768,not-retrieved,,no OA source
CAND-2773,CAND-2773,not-retrieved,,no OA source
CAND-2774,CAND-2774,fetched,oa_pdf_url,overlap=1.00
CAND-2776,CAND-2776,not-retrieved,,no OA source
CAND-2780,CAND-2780,not-retrieved,,no OA source
CAND-2816,CAND-2816,fetched,oa_pdf_url,overlap=1.00
CAND-2844,CAND-2844,fetched,oa_pdf_url,overlap=0.60
CAND-2858,CAND-2858,not-retrieved,,no OA source
CAND-2859,CAND-2859,not-retrieved,,no OA source
CAND-2891,CAND-2891,not-retrieved,,no OA source
CAND-2912,CAND-2912,not-retrieved,,no OA source
CAND-2923,CAND-2923,not-retrieved,,no OA source
CAND-2941,CAND-2941,not-retrieved,,no OA source
CAND-2970,CAND-2970,fetched,oa_pdf_url,overlap=1.00
CAND-2994,CAND-2994,not-retrieved,,no OA source
CAND-2997,CAND-2997,not-retrieved,,no OA source
CAND-3002,CAND-3002,fetched,oa_pdf_url,overlap=1.00
CAND-3028,CAND-3028,fetched,oa_pdf_url,overlap=1.00
CAND-3056,CAND-3056,not-retrieved,,no OA source
CAND-3057,CAND-3057,fetched,oa_pdf_url,overlap=1.00
CAND-3083,CAND-3083,not-retrieved,,no OA source
CAND-3089,CAND-3089,not-retrieved,,no OA source
CAND-3090,CAND-3090,not-retrieved,,no OA source
CAND-3092,CAND-3092,not-retrieved,,no OA source
CAND-3093,CAND-3093,not-retrieved,,no OA source
CAND-3112,CAND-3112,fetched,oa_pdf_url,overlap=1.00
CAND-3115,CAND-3115,not-retrieved,,no OA source
CAND-3117,CAND-3117,fetched,oa_pdf_url,overlap=1.00
CAND-3125,CAND-3125,not-retrieved,,no OA source
CAND-3133,CAND-3133,not-retrieved,,no OA source
CAND-3134,CAND-3134,fetched,oa_pdf_url,overlap=1.00
CAND-3141,CAND-3141,not-retrieved,,no OA source
CAND-3142,CAND-3142,fetched,oa_pdf_url,overlap=1.00
CAND-3151,CAND-3151,not-retrieved,,no OA source
CAND-3154,CAND-3154,fetched,oa_pdf_url,overlap=0.89
CAND-3161,CAND-3161,fetched,oa_pdf_url,overlap=1.00
CAND-3162,CAND-3162,fetched,oa_pdf_url,overlap=1.00
CAND-3174,CAND-3174,not-retrieved,,no OA source
CAND-3204,CAND-3204,fetched,oa_pdf_url,overlap=1.00
CAND-3205,CAND-3205,not-retrieved,,no OA source
CAND-3214,CAND-3214,not-retrieved,,no OA source
CAND-3223,CAND-3223,fetched,oa_pdf_url,overlap=1.00
CAND-3232,CAND-3232,not-retrieved,,no OA source
CAND-3233,CAND-3233,fetched,oa_pdf_url,overlap=1.00
CAND-3251,CAND-3251,fetched,oa_pdf_url,overlap=1.00
CAND-3267,CAND-3267,not-retrieved,,no OA source
CAND-3275,CAND-3275,not-retrieved,,no OA source
CAND-3291,CAND-3291,quarantined,oa_pdf_url,overlap=0.29
CAND-3309,CAND-3309,fetched,oa_pdf_url,overlap=1.00
CAND-3317,CAND-3317,fetched,oa_pdf_url,overlap=0.75
CAND-3318,CAND-3318,not-retrieved,,no OA source
CAND-3339,CAND-3339,not-retrieved,,no OA source
CAND-3344,CAND-3344,not-retrieved,,no OA source
CAND-3370,CAND-3370,fetched,oa_pdf_url,overlap=1.00
CAND-3392,CAND-3392,fetched,oa_pdf_url,overlap=1.00
CAND-3426,CAND-3426,not-retrieved,,no OA source
CAND-3438,CAND-3438,not-retrieved,,no OA source
CAND-3439,CAND-3439,not-retrieved,,no OA source
CAND-3460,CAND-3460,not-retrieved,,no OA source
CAND-3461,CAND-3461,not-retrieved,,no OA source
CAND-3480,CAND-3480,not-retrieved,,no OA source
CAND-3486,CAND-3486,not-retrieved,,no OA source
CAND-3487,CAND-3487,fetched,oa_pdf_url,overlap=1.00
CAND-3489,CAND-3489,not-retrieved,,no OA source
CAND-3508,CAND-3508,not-retrieved,,no OA source
CAND-3509,CAND-3509,not-retrieved,,no OA source
CAND-3518,CAND-3518,not-retrieved,,no OA source
CAND-3536,CAND-3536,fetched,oa_pdf_url,overlap=1.00
CAND-3537,CAND-3537,fetched,oa_pdf_url,overlap=1.00
CAND-3542,CAND-3542,not-retrieved,,no OA source
CAND-3561,CAND-3561,not-retrieved,,no OA source
CAND-3569,CAND-3569,not-retrieved,,no OA source
CAND-3593,CAND-3593,not-retrieved,,no OA source
CAND-3594,CAND-3594,not-retrieved,,no OA source
CAND-3595,CAND-3595,not-retrieved,,no OA source
CAND-3603,CAND-3603,not-retrieved,,no OA source
CAND-3621,CAND-3621,not-retrieved,,no OA source
CAND-3652,CAND-3652,fetched,oa_pdf_url,overlap=0.86
CAND-3660,CAND-3660,fetched,oa_pdf_url,overlap=1.00
CAND-3661,CAND-3661,not-retrieved,,no OA source
CAND-3676,CAND-3676,not-retrieved,,no OA source
CAND-3695,CAND-3695,not-retrieved,,no OA source
CAND-3698,CAND-3698,not-retrieved,,no OA source
CAND-3722,CAND-3722,not-retrieved,,no OA source
CAND-3723,CAND-3723,not-retrieved,,no OA source
CAND-3730,CAND-3730,not-retrieved,,no OA source
CAND-3734,CAND-3734,not-retrieved,,no OA source
CAND-3735,CAND-3735,not-retrieved,,no OA source
CAND-3740,CAND-3740,fetched,oa_pdf_url,overlap=0.75
CAND-3741,CAND-3741,not-retrieved,,no OA source
CAND-3750,CAND-3750,quarantined,oa_pdf_url,overlap=0.33
CAND-3751,CAND-3751,not-retrieved,,no OA source
CAND-3761,CAND-3761,not-retrieved,,no OA source
CAND-3778,CAND-3778,fetched,oa_pdf_url,overlap=1.00
CAND-3784,CAND-3784,fetched,oa_pdf_url,overlap=1.00
CAND-3794,CAND-3794,not-retrieved,,no OA source
CAND-3806,CAND-3806,not-retrieved,,no OA source
CAND-3821,CAND-3821,not-retrieved,,no OA source
CAND-3823,CAND-3823,not-retrieved,,no OA source
CAND-3854,CAND-3854,not-retrieved,,no OA source
CAND-3858,CAND-3858,not-retrieved,,no OA source
CAND-3911,CAND-3911,not-retrieved,,no OA source
CAND-3922,CAND-3922,not-retrieved,,no OA source
CAND-3935,CAND-3935,fetched,unpaywall,overlap=1.00
CAND-3961,CAND-3961,fetched,oa_pdf_url,overlap=1.00
CAND-3971,CAND-3971,not-retrieved,,no OA source
CAND-3979,CAND-3979,fetched,oa_pdf_url,overlap=1.00
CAND-3981,CAND-3981,not-retrieved,,no OA source
CAND-4000,CAND-4000,fetched,oa_pdf_url,overlap=1.00
CAND-4002,CAND-4002,fetched,oa_pdf_url,overlap=1.00
CAND-4021,CAND-4021,not-retrieved,,no OA source
CAND-4028,CAND-4028,not-retrieved,,no OA source
CAND-4029,CAND-4029,fetched,oa_pdf_url,overlap=1.00
CAND-4031,CAND-4031,fetched,oa_pdf_url,overlap=1.00
CAND-4044,CAND-4044,not-retrieved,,no OA source
CAND-4049,CAND-4049,not-retrieved,,no OA source
CAND-4092,CAND-4092,fetched,oa_pdf_url,overlap=1.00
CAND-4097,CAND-4097,not-retrieved,,no OA source
CAND-4110,CAND-4110,not-retrieved,,no OA source
CAND-4129,CAND-4129,not-retrieved,,no OA source
CAND-4175,CAND-4175,not-retrieved,,no OA source
CAND-4187,CAND-4187,not-retrieved,,no OA source
CAND-4219,CAND-4219,fetched,oa_pdf_url,overlap=1.00
CAND-4221,CAND-4221,not-retrieved,,no OA source
CAND-4226,CAND-4226,fetched,oa_pdf_url,overlap=1.00
CAND-4227,CAND-4227,not-retrieved,,no OA source
CAND-4235,CAND-4235,not-retrieved,,no OA source
CAND-4251,CAND-4251,not-retrieved,,no OA source
CAND-4255,CAND-4255,not-retrieved,,no OA source
CAND-4276,CAND-4276,not-retrieved,,no OA source
CAND-4277,CAND-4277,not-retrieved,,no OA source
CAND-4285,CAND-4285,not-retrieved,,no OA source
CAND-4300,CAND-4300,quarantined,oa_pdf_url,overlap=0.00
CAND-4303,CAND-4303,not-retrieved,,no OA source
CAND-4309,CAND-4309,fetched,arxiv,overlap=1.00
CAND-4366,CAND-4366,not-retrieved,,no OA source
CAND-4367,CAND-4367,fetched,s2,overlap=1.00
CAND-4414,CAND-4414,not-retrieved,,no OA source
CAND-4431,CAND-4431,not-retrieved,,no OA source
CAND-4436,CAND-4436,not-retrieved,,no OA source
CAND-4448,CAND-4448,not-retrieved,,no OA source
CAND-4460,CAND-4460,fetched,oa_pdf_url,overlap=1.00
CAND-4464,CAND-4464,fetched,oa_pdf_url,overlap=1.00
CAND-4468,CAND-4468,fetched,oa_pdf_url,overlap=1.00
CAND-4519,CAND-4519,fetched,oa_pdf_url,overlap=1.00
CAND-4523,CAND-4523,fetched,oa_pdf_url,overlap=1.00
CAND-4564,CAND-4564,not-retrieved,,no OA source
CAND-4579,CAND-4579,not-retrieved,,no OA source
CAND-4654,CAND-4654,not-retrieved,,no OA source
CAND-4668,CAND-4668,not-retrieved,,no OA source
CAND-4672,CAND-4672,fetched,oa_pdf_url,overlap=1.00
CAND-4714,CAND-4714,not-retrieved,,no OA source
CAND-4725,CAND-4725,not-retrieved,,no OA source
CAND-4791,CAND-4791,fetched,oa_pdf_url,overlap=1.00
CAND-4811,CAND-4811,not-retrieved,,no OA source
CAND-4818,CAND-4818,fetched,oa_pdf_url,overlap=1.00
CAND-4844,CAND-4844,fetched,oa_pdf_url,overlap=1.00
CAND-4847,CAND-4847,not-retrieved,,no OA source
CAND-4853,CAND-4853,not-retrieved,,no OA source
CAND-4861,CAND-4861,not-retrieved,,no OA source
CAND-4863,CAND-4863,not-retrieved,,no OA source
CAND-4873,CAND-4873,fetched,oa_pdf_url,overlap=1.00
CAND-4875,CAND-4875,not-retrieved,,no OA source
CAND-4881,CAND-4881,not-retrieved,,no OA source
CAND-4883,CAND-4883,not-retrieved,,no OA source
CAND-4900,CAND-4900,not-retrieved,,no OA source
CAND-4927,CAND-4927,fetched,oa_pdf_url,overlap=1.00
CAND-4938,CAND-4938,not-retrieved,,no OA source
CAND-4940,CAND-4940,not-retrieved,,no OA source
CAND-4941,CAND-4941,fetched,oa_pdf_url,overlap=1.00
CAND-4944,CAND-4944,not-retrieved,,no OA source
CAND-4948,CAND-4948,not-retrieved,,no OA source
CAND-4953,CAND-4953,fetched,oa_pdf_url,overlap=1.00
CAND-4994,CAND-4994,fetched,oa_pdf_url,overlap=1.00
CAND-5009,CAND-5009,fetched,oa_pdf_url,overlap=1.00
CAND-5050,CAND-5050,fetched,oa_pdf_url,overlap=1.00
CAND-5058,CAND-5058,not-retrieved,,no OA source
CAND-5089,CAND-5089,not-retrieved,,no OA source
CAND-5090,CAND-5090,fetched,oa_pdf_url,overlap=1.00
CAND-5116,CAND-5116,not-retrieved,,no OA source
CAND-5138,CAND-5138,not-retrieved,,no OA source
CAND-5143,CAND-5143,not-retrieved,,no OA source
CAND-5156,CAND-5156,not-retrieved,,no OA source
CAND-5159,CAND-5159,not-retrieved,,no OA source
CAND-5175,CAND-5175,fetched,arxiv,overlap=1.00
CAND-5176,CAND-5176,not-retrieved,,no OA source
CAND-5182,CAND-5182,fetched,oa_pdf_url,overlap=1.00
CAND-5200,CAND-5200,not-retrieved,,no OA source
CAND-5206,CAND-5206,fetched,oa_pdf_url,overlap=1.00
CAND-5215,CAND-5215,fetched,oa_pdf_url,overlap=1.00
CAND-5222,CAND-5222,not-retrieved,,no OA source
CAND-5259,CAND-5259,fetched,oa_pdf_url,overlap=1.00
CAND-5262,CAND-5262,not-retrieved,,no OA source
CAND-5270,CAND-5270,not-retrieved,,no OA source
CAND-5296,CAND-5296,not-retrieved,,no OA source
CAND-5309,CAND-5309,fetched,oa_pdf_url,overlap=1.00
CAND-5317,CAND-5317,fetched,oa_pdf_url,overlap=1.00
CAND-5323,CAND-5323,fetched,oa_pdf_url,overlap=1.00
CAND-5330,CAND-5330,fetched,oa_pdf_url,overlap=1.00
CAND-5333,CAND-5333,fetched,oa_pdf_url,overlap=1.00
CAND-5355,CAND-5355,not-retrieved,,no OA source
CAND-5364,CAND-5364,not-retrieved,,no OA source
CAND-5401,CAND-5401,fetched,oa_pdf_url,overlap=1.00
CAND-5402,CAND-5402,not-retrieved,,no OA source
CAND-5409,CAND-5409,not-retrieved,,no OA source
CAND-5410,CAND-5410,not-retrieved,,no OA source
CAND-5412,CAND-5412,not-retrieved,,no OA source
CAND-5413,CAND-5413,fetched,oa_pdf_url,overlap=1.00
CAND-5445,CAND-5445,fetched,unpaywall,overlap=1.00
CAND-5488,CAND-5488,not-retrieved,,no OA source
CAND-5490,CAND-5490,not-retrieved,,no OA source
CAND-5491,CAND-5491,not-retrieved,,no OA source
CAND-5503,CAND-5503,fetched,oa_pdf_url,overlap=1.00
CAND-5504,CAND-5504,fetched,oa_pdf_url,overlap=1.00
CAND-5506,CAND-5506,not-retrieved,,no OA source
CAND-5523,CAND-5523,not-retrieved,,no OA source
CAND-5543,CAND-5543,fetched,oa_pdf_url,overlap=1.00
CAND-5557,CAND-5557,not-retrieved,,no OA source
CAND-5582,CAND-5582,fetched,oa_pdf_url,overlap=1.00
CAND-5595,CAND-5595,fetched,oa_pdf_url,overlap=1.00
CAND-5596,CAND-5596,fetched,oa_pdf_url,overlap=1.00
CAND-5611,CAND-5611,not-retrieved,,no OA source
CAND-5621,CAND-5621,not-retrieved,,no OA source
CAND-5634,CAND-5634,fetched,oa_pdf_url,overlap=0.75
CAND-5641,CAND-5641,not-retrieved,,no OA source
CAND-5661,CAND-5661,not-retrieved,,no OA source
CAND-5662,CAND-5662,not-retrieved,,no OA source
CAND-5671,CAND-5671,not-retrieved,,no OA source
CAND-5676,CAND-5676,not-retrieved,,no OA source
CAND-5677,CAND-5677,fetched,oa_pdf_url,overlap=1.00
CAND-5687,CAND-5687,fetched,oa_pdf_url,overlap=1.00
CAND-5693,CAND-5693,not-retrieved,,no OA source
CAND-5706,CAND-5706,fetched,oa_pdf_url,overlap=1.00
CAND-5729,CAND-5729,not-retrieved,,no OA source
CAND-5732,CAND-5732,fetched,oa_pdf_url,overlap=1.00
CAND-5735,CAND-5735,fetched,oa_pdf_url,overlap=1.00
CAND-5743,CAND-5743,fetched,unpaywall,overlap=1.00
CAND-5744,CAND-5744,not-retrieved,,no OA source
CAND-5745,CAND-5745,not-retrieved,,no OA source
CAND-5782,CAND-5782,fetched,oa_pdf_url,overlap=1.00
CAND-5790,CAND-5790,fetched,oa_pdf_url,overlap=1.00
CAND-5814,CAND-5814,fetched,oa_pdf_url,overlap=1.00
CAND-5832,CAND-5832,not-retrieved,,no OA source
CAND-5834,CAND-5834,fetched,arxiv,overlap=1.00
CAND-5837,CAND-5837,not-retrieved,,no OA source
CAND-5839,CAND-5839,fetched,oa_pdf_url,overlap=1.00
CAND-5841,CAND-5841,fetched,oa_pdf_url,overlap=1.00
CAND-5849,CAND-5849,not-retrieved,,no OA source
CAND-5854,CAND-5854,not-retrieved,,no OA source
CAND-5860,CAND-5860,not-retrieved,,no OA source
CAND-5868,CAND-5868,not-retrieved,,no OA source
CAND-5882,CAND-5882,not-retrieved,,no OA source
CAND-5901,CAND-5901,not-retrieved,,no OA source
CAND-5906,CAND-5906,fetched,oa_pdf_url,overlap=1.00
CAND-5932,CAND-5932,not-retrieved,,no OA source
CAND-5933,CAND-5933,not-retrieved,,no OA source
CAND-5934,CAND-5934,not-retrieved,,no OA source
CAND-5939,CAND-5939,not-retrieved,,no OA source
CAND-5940,CAND-5940,fetched,oa_pdf_url,overlap=1.00
CAND-5965,CAND-5965,not-retrieved,,no OA source
CAND-5983,CAND-5983,fetched,oa_pdf_url,overlap=1.00
CAND-5989,CAND-5989,not-retrieved,,no OA source
CAND-6005,CAND-6005,fetched,oa_pdf_url,overlap=1.00
CAND-6006,CAND-6006,not-retrieved,,no OA source
CAND-6008,CAND-6008,fetched,oa_pdf_url,overlap=1.00
CAND-6054,CAND-6054,fetched,unpaywall,overlap=1.00
CAND-6058,CAND-6058,fetched,oa_pdf_url,overlap=1.00
CAND-6075,CAND-6075,fetched,oa_pdf_url,overlap=1.00
CAND-6099,CAND-6099,fetched,oa_pdf_url,overlap=1.00
CAND-6118,CAND-6118,not-retrieved,,no OA source
CAND-6119,CAND-6119,fetched,oa_pdf_url,overlap=1.00
CAND-6131,CAND-6131,not-retrieved,,no OA source
CAND-6161,CAND-6161,not-retrieved,,no OA source
CAND-6172,CAND-6172,fetched,oa_pdf_url,overlap=1.00
CAND-6240,CAND-6240,fetched,oa_pdf_url,overlap=1.00
CAND-6245,CAND-6245,fetched,oa_pdf_url,overlap=1.00
CAND-6254,CAND-6254,not-retrieved,,no OA source
CAND-6259,CAND-6259,not-retrieved,,no OA source
CAND-6261,CAND-6261,fetched,oa_pdf_url,overlap=1.00
CAND-6263,CAND-6263,fetched,oa_pdf_url,overlap=1.00
CAND-6266,CAND-6266,fetched,oa_pdf_url,overlap=1.00
CAND-6292,CAND-6292,fetched,oa_pdf_url,overlap=1.00
CAND-6312,CAND-6312,fetched,oa_pdf_url,overlap=1.00
CAND-6316,CAND-6316,not-retrieved,,no OA source
CAND-6329,CAND-6329,fetched,oa_pdf_url,overlap=1.00
CAND-6333,CAND-6333,not-retrieved,,no OA source
CAND-6334,CAND-6334,fetched,oa_pdf_url,overlap=1.00
CAND-6347,CAND-6347,fetched,unpaywall,overlap=1.00
CAND-6353,CAND-6353,not-retrieved,,no OA source
CAND-6376,CAND-6376,fetched,oa_pdf_url,overlap=1.00
CAND-6377,CAND-6377,fetched,oa_pdf_url,overlap=0.89
CAND-6420,CAND-6420,not-retrieved,,no OA source
CAND-6446,CAND-6446,not-retrieved,,no OA source
CAND-6561,CAND-6561,not-retrieved,,no OA source
CAND-6592,CAND-6592,not-retrieved,,no OA source
CAND-6604,CAND-6604,not-retrieved,,no OA source
